time,user_name,user_color,message
18,rizzo04,#FF00F3,"HELLO NEVO"
25,rizzo04,#FF00F3,"HELLO DOBBY"
26,nevo1st,#1E90FF,"@Rizzo04 hello nice badge"
31,smellysoggysock,#1E90FF,"Hi"
31,born2shit_forced2wipe,#2E8B57,"NEVO IM STILL TAXIING IN how long until building commences"
34,rizzo04,#FF00F3,"it looks os cute lol xx"
41,sofiyeg,#8A2BE2,"hi nevo, can't wait to see dobby :3"
56,anastasiabvrhausen,#FF00E7,"I’m going to kill myself not even in a game or anything in real life"
59,tashathetwat,,"Evening everyone !! nevo1sSmiles"
64,smellysoggysock,#1E90FF,"Evening"
67,thetasigma01,#1E90FF,"long awaited yet its been 2 days?"
78,nevo1st,#1E90FF,"evening evening evening"
81,thetasigma01,#1E90FF,"Hey everyone btw!"
95,rizzo04,#FF00F3,"AYOP"
96,sofiyeg,#8A2BE2,"good evening everyone as well!"
104,thetasigma01,#1E90FF,"@Rizzo04 AYOP Rizzo"
119,pobhats,,"happy new year every1 !"
127,nevo1st,#1E90FF,"@pobhats happy new year pobhats"
133,rizzo04,#FF00F3,"@pobhats happy new year to you too"
134,anastasiabvrhausen,#FF00E7,"I’ve been sitting staring at my wall for the last two days with nothing to do"
135,tashathetwat,,"watching two things at once rn nevo1sFrowns"
145,thetasigma01,#1E90FF,"happy new year nevo chat"
150,smellysoggysock,#1E90FF,"Wooo"
150,hlkfjojhty,#0000FF,"ello"
153,tashathetwat,,"LEGO STREAM"
153,paulmccartneyy_,#DAA520,"OHHHH that dobbie"
155,rizzo04,#FF00F3,"MUTED"
155,hlkfjojhty,#0000FF,"I thought you meant dobby like from peep show"
156,smellysoggysock,#1E90FF,"Muted"
157,paulmccartneyy_,#DAA520,"dobby*"
158,guynamedpipe3,#2E8B57,"@Tashathetwat im doing 2 things at once to"
161,smellysoggysock,#1E90FF,"Muted wooo"
163,tashathetwat,,"muted"
165,born2shit_forced2wipe,#2E8B57,"no sound"
166,sofiyeg,#8A2BE2,"no audio"
166,thetasigma01,#1E90FF,"we cant hear u]"
169,thetasigma01,#1E90FF,"dumbass"
172,rizzo04,#FF00F3,"BED REVEAL"
174,thetasigma01,#1E90FF,"but it makes it better"
179,paulmccartneyy_,#DAA520,"oh god we have to see nevos gammy fingers all stream long"
180,born2shit_forced2wipe,#2E8B57,"crap sound"
181,smellysoggysock,#1E90FF,"Yes"
182,tashathetwat,,"make your bed you DOSSER"
189,born2shit_forced2wipe,#2E8B57,"are u using webcam mic?"
191,rizzo04,#FF00F3,"ello"
197,fivootm,#00973E,"loving the crotch cam bestie!"
204,anastasiabvrhausen,#FF00E7,"It’s crap sound but that’s just your voice tbh"
207,born2shit_forced2wipe,#2E8B57,"no this mic is horrendous"
207,sofiyeg,#8A2BE2,"SofiyeG subscribed at Tier 1. They've subscribed for 3 months, currently on a 3 month streak! dobby is my favourite hp character"
